brand,name,old_price,old_price_cents,new_price,new_price_cents,reviews_rating_number,reviews_amount
REDLEY,Tênis Originals Cano Alto Latex Unissex Redley,190,60,31,77,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,319,99,4.7,(2311)
,Tênis T Star Cano Baixo All Flatform Rosa Feminino Glitter,239,90,34,27,,
QIX,Tênis Qix Am Skate Street Casual Unissex Preto Original,349,99,209,99,,
PUMA,Tênis Flyer Flex Feminino Puma,329,90,195,90,4.8,(588)
FH,Tênis Meia Masculino Confortável Casual Segurança Dia A Dia,299,98,254,98,,
,Tênis Masculino Sport Flex  Confortável Leve Casual Academia,120,50,11,81,,
DEMOCRATA,Tênis Democrata Masculino Denim Block Preto Couro Original,269,62,33,,,
NEW BALANCE,Tênis New Balance Masculino Esportivo Casual Couro Importado,349,90,244,93,,
REDLEY,Tênis Originals Cano Alto Latex Unissex Redley,190,60,31,77,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,319,99,4.7,(2311)
ASICS,Tenis Masculino Asics Raiden 4 Corrida Academia Original,324,90,31,77,,
VANS,Tênis Vans Wayvee Blanc De Blanc - Exclusivo,682,40,68,24,,
DEMOCRATA,Tenis Preto Democrata Block Couro Lancamento Promocao +nf,279,,31,,,
OLLIE,Tenis Ollie Start3 Masculino Street Skate Conforto Original,209,99,157,49,5.0,(1)
QIX,Tênis Qix Revolution Sabotage - Mun Rá,599,90,57,91,,
NEW BALANCE,Tênis New Balance  Fresh Foam X 1080 V14 Cinza - Masculino,1.299,99,909,,,
PEGADA,Sapatênis Masculino Estiloso Confortável Pegada 172201,189,50,31,,,
NIKE,Tênis Nike Revolution 7 Feminino,399,99,319,99,4.7,(781)
PEGADA,Tênis Casual Masculino Microfibra Calce Fácil Pegada 171901,203,60,33,93,,
ADIDAS,Tênis Ultimashow 2.0 adidas,349,99,223,09,4.8,(377)
ASICS,Tênis Asics Sendai Academia Homem Mulher Barato 34 A 43 Novo,333,33,119,99,,
ASICS,Tênis Asics Sendai Original Gel Lançamento Barato Moda Macio,333,33,119,99,,
OLYMPIKUS,Tênis Olympikus Only 2 Casual Clássico Unissex Original,219,99,186,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Feminino Leve Para Caminhada,362,90,217,74,5.0,(2)
KOLOSH,Tênis Sapatilha Slip On Preto Feminino Kolosh Calce Fácil,149,90,14,70,,
GODIVA,Tenis Slip On Jeans Azul Hotfix Godiva Confortavel Dia A Dia,129,99,32,50,,
KOLOSH,Tênis Adulto Feminino Kolosh Casual Confortável,199,99,33,33,,
OLYMPIKUS,Tênis Olympikus Corre Max Verde- Feminino,499,99,50,,,
PEGADA,Tênis Casual Pegada Masculino,209,90,34,98,,
DC SHOES,Tênis Dc Shoes Anvil Blast Sm25 Black/gum,389,90,38,13,,
LETS,Tênis Masculino Para Academia E Caminhada Confortável,77,90,7,64,,
ÖUS,Tênis Öus Unissex Camurça Fluente Silver Essencial | Branco,399,99,39,11,,
,Tenis Feminino Casual Tendencia Modinha Confortavel,221,75,133,05,,
MIZUNO,Tênis Asics Novablast 5 Roxo/vermelho Masculino Corrida,999,99,96,74,,
,Tênis Casual Masculino Cadarço Moda Street Elegante Confortá,131,90,32,98,5.0,(1)
VIA MARTE,Tênis Feminino Casual Flatform Via Marte Branco Original,186,64,159,59,,
,Tênis Masculino Branco Basico Casual Cano Baixo Sola Reta,99,99,64,99,4.0,(1)
,Tênis Casual Hayller Academia Feminino E Masculino Unissex,78,50,58,73,4.6,(848)
FILA,Tênis Adulto Feminino Fila Maxximus Running Speed Zone,499,99,319,68,5.0,(2)
BF SHOES,Tênis Academia Masculino Esportivo Bf Shoes + Smartwatch,153,69,99,89,5.0,(1)
LORENZZO LOPEZ,Pacote Fitness Tênis Óculos Relógio Digital Para Treino,98,53,32,84,5.0,(2)
MIZUNO,Tênis Mizuno Wave Prophecy Masculino E Feminino,849,90,84,99,,
OLLIE,Tenis Ollie Volt2 Masculino Street Skate Conforto Original,249,99,192,49,,
CONFIANÇA,Tenis Feminino Casual Original Espumado Macio Flatform Preto,69,90,64,30,4.0,(3)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,77,10,25,70,,
PUMA,Puma Caven 2.0 Bdp Masculino Adultos 396330,399,90,325,50,4.8,(560)
,Tênis Feminino Casual Confortável Pingente Coração,33,90,30,84,4.2,(5856)
AIR,Promoção Tênis Air Tn Amortecimento Molas Bolhas Esporte,119,99,11,76,5.0,(1)
OLYMPIKUS,Olympikus Volcan Masculino Adultos,249,99,174,99,4.7,(9)
ADIDAS,Tênis Ultimashow 2.0 adidas,349,99,223,09,4.8,(377)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(52)
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
OLYMPIKUS,Olympikus Casual Eros Sem gênero Adultos,237,49,180,49,4.7,(723)
,Tênis Casual Air Plataforma Feminino Lançamento Promoção,109,90,65,94,4.7,(134)
,Tênis Feminino Casual Confortável Pingente Coração Branco,34,90,30,90,4.1,(4927)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,78,50,67,50,4.6,(3676)
MORETTO,Tenis Moretto Knu Skool Skate Skatista Confortavel Feminino,109,90,98,91,4.8,(9)
NEW BALANCE,Tênis New Balance  Fresh Foam X 1080 V14 Cinza - Masculino,1.299,99,909,,,
NEW SPEED,Tênis New Speed Esporte Masculino 100% Original Caminhada,259,91,215,72,4.5,(74)
,Tênis Vizzano Feminino Branco Casual Confortavel Dia A Dia,168,74,129,99,4.9,(338)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,162,88,4.7,(4754)
POLO JOY,Sapatênis Tênis Slip-on Masculino Polo Joy Calce Fácil Top,117,90,11,56,4.8,(169)
LAURUS,Tênis Casual Unissex Sapatênis Confortável Branco Preto,139,30,97,43,4.0,(4)
VILI,Sapatenis Tenis Casual Masculino Polo Vili,104,49,78,36,4.6,(5604)
MODARE,Tenis Feminino Ortopedico Modare Casual Massageador Esporao,149,95,112,46,4.7,(1915)
,Tenis Masculino Ortopédico Caminhada Academia + Relógio,119,90,11,75,4.7,(287)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,139,90,129,99,4.8,(5385)
ADIDAS,adidas Grand Court Base 2.0 Feminino Adultos,299,99,259,99,4.9,(285)
ADIDAS,Tênis Feminino Grand Court Base 2.0 Simp adidas *oferta*,345,30,241,99,4.8,(1435)
MODARE,Tenis Feminino Modare Ultraconforto Gel Tech Casual Macio,78,90,7,73,4.8,(478)
POLO,Sapatênis Polo Masculino Premium Confortável Macio Elegante,117,78,95,40,4.7,(41)
OAKLEY,Tenis Oakley Masculino Flak Ii,799,90,79,99,,
,"Sapatênis , Leve De  Zíper Super Conforto",94,90,79,90,4.5,(1119)
ASCENSION,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,99,42,33,14,4.7,(276)
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,158,69,4.7,(4401)
,Tenis Feminino + Relogio Esportivo Academia Corrida Treino,77,40,59,59,4.4,(244)
